SG_UF_PROVA;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_COORDENACAO;CO_LOCAL;NO_LOCAL_PROVA
SC;4209300;LAGES;;P1223;PPL - PRESIDIO MASCULINO DE LAGES
SC;4211900;PALHOCA;;P1224;PPL - COLONIA PENAL AGRICOLA DA PALHOCA
SC;4208906;JARAGUA DO SUL;;P1225;PPL - PRESIDIO REGIONAL DE JARAGUA DO SUL
RS;4306106;CRUZ ALTA;;P1226;PPL - PRESIDIO ESTADUAL DE CRUZ ALTA
RS;4316907;SANTA MARIA;;P1227;PPL - PRESIDIO REGIONAL DE SANTA MARIA
RS;4316808;SANTA CRUZ DO SUL;;P1228;PPL - PRESIDIO REGIONAL DE SANTA CRUZ DO SUL
RS;4317905;SANTO CRISTO;;P1229;PPL - PRESIDIO ESTADUAL DE SANTO CRISTO
RS;4305355;CHARQUEADAS;;P123;PPL - COLONIA PENAL AGRICOLA GAL DALTRO FILHO
RS;4307005;ERECHIM;;P1231;PPL - PRESIDIO ESTADUAL DE ERECHIM
RS;4322509;VACARIA;;P1232;PPL - PRESIDIO ESTADUAL DE VACARIA
RS;4322509;VACARIA;;P1232;PPL - PRESIDIO ESTADUAL DE VACARIA
RS;4300406;ALEGRETE;;P1233;PPL - PRESIDIO ESTADUAL DE ALEGRETE
RS;4322608;VENANCIO AIRES;;P1234;PPL - PENITENCIARIA ESTADUAL DE VENANCIO AIRES  PEVA
PA;1501402;BELEM;;P1237;PPL - CASA DE HUMANIZACAO ASSISTENCIA E PROTECAO AO APENADO DE BELEM
PA;1501402;BELEM;;P1237;PPL - CASA DE HUMANIZACAO ASSISTENCIA E PROTECAO AO APENADO DE BELEM
PA;1504208;MARABA;;P1238;PPL - UNIDADE DE CUSTODIA E REINSERCAO DE MARABA
PA;1504604;MOCAJUBA;;P1239;PPL - UNIDADE DE CUSTODIA E REINSERCAO DE MOCAJUBA
DF;5300108;BRASILIA;;P124;PPL - UNIDADE DE INTERNACAO DE SANTA MARIAUISM
RJ;3304557;RIO DE JANEIRO;;P1240;PPL - CADEIA PUBLICA PAULO ROBERTO ROCHA  SEAPPR
RJ;3304557;RIO DE JANEIRO;;P1241;PPL - PENITENCIARIA INDUSTRIAL ESMERALDINO BANDEIRA  SEAPEB
RJ;3304557;RIO DE JANEIRO;;P1242;PPL - CADEIA PUBLICA PEDRO MELO DA SILVA  SEAPPM
RJ;3304557;RIO DE JANEIRO;;P1243;PPL - INSTITUTO PENAL VICENTE PIRAGIBE  SEAPVP
PA;1501709;BRAGANCA;;P1245;PPL - UNIDADE DE CUSTODIA E REINSERCAO DE BRAGANCA
PA;1504422;MARITUBA;;P1246;PPL - UNIDADE DE CUSTODIA E REINSERCAO DE MARITUBA III
PA;1506500;SANTA IZABEL DO PARA;;P1248;PPL - UNIDADE DE REINSERCAO DE REGIME SEMIABERTO DE SANTA IZABEL
ES;3204906;SAO MATEUS;;P1249;PPL - CENTRO DE DETENCAO PROVISORIA DE SAO MATEUS CDPSM
DF;5300108;BRASILIA;;P125;PPL - UNIDADE DE INTERNACAO DE SAO SEBASTIAO UISS
MG;3149903;PERDOES;;P1252;PPL - APAC DE PERDOES
MG;3124906;EUGENOPOLIS;;P1254;PPL - PRESIDIO DE EUGENOPOLIS
PR;4124103;SANTO ANTONIO DA PLATINA;;P1256;PPL - CENSE SANTO ANTONIO DA PLATINA
AP;1600303;MACAPA;;P126;PPL - CENTRO DE CUSTODIA COCEC
TO;1702208;ARAGUATINS;;P1265;PPL - UNIDADE PENAL DE ARAGUATINS
TO;1702109;ARAGUAINA;;P1266;PPL - UNIDADE PENAL DE ARAGUAINA
TO;1713205;MIRACEMA DO TOCANTINS;;P1267;PPL - UNIDADE PENAL DE MIRACEMA
TO;1716109;PARAISO DO TOCANTINS;;P1268;PPL - UNIDADE PENAL DE PARAISO DO TOCATINS
SC;4209003;JOACABA;;P127;PPL - PRESIDIO REGIONAL DE JOACABA
MG;3140001;MARIANA;;P1273;PPL - PRESIDIO DE MARIANA
MG;3147105;PARA DE MINAS;;P1274;PPL - COMPLEXO PENITENCIARIO DR PIO CANEDO
MG;3130903;INHAPIM;;P1276;PPL - PRESIDIO DE INHAPIM
MG;3169406;TRES PONTAS;;P1277;PPL - PRESIDIO DE TRES PONTAS
MG;3169307;TRES CORACOES;;P1278;PPL - PENITENCIARIA DE TRES CORACOES
MG;3138203;LAVRAS;;P1279;PPL - PRESIDIO DE LAVRAS
MG;3154606;RIBEIRAO DAS NEVES;;P1280;PPL - PRESIDIO JOSE ABRANCHES GONCALVES
