SG_UF_PROVA;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_COORDENACAO;CO_LOCAL;NO_LOCAL_PROVA
CE;2305902;IPUEIRAS;50550;;EMTI JOSÉ ALOÍSIO ARAGÃO
CE;2306553;ITAREMA;50525;;EEEP PROFESSORA ROSÂNGELA ALBUQUERQUE COUTO
CE;2302602;CAMOCIM;50536;;EEMTI DEPUTADO MURILO AGUIAR
CE;2305407;ICO;50545;;EEEP DEPUTADO JOSÉ WALFRIDO MONTEIRO
CE;2305001;GUARACIABA DO NORTE;50548;;EEEP DEPUTADO JOSÉ MARIA MELO
RS;4320800;SOLEDADE;51127;;UNIVERSIDADE DE PASSO FUNDO - CAMPUS SOLEDADE
RS;4318804;SAO LOURENCO DO SUL;51136;;EEEM CRUZEIRO DO SUL
RS;4317103;SANT ANA DO LIVRAMENTO;51146;;E.E.E.F. VITELLIO GAZAPINA
RS;4318309;SAO GABRIEL;51147;;IEE MENNA BARRETO
ES;3203205;LINHARES;51038;;EEEM EMIR DE MACEDO GOMES
ES;3205002;SERRA;51059;;FACULDADE MULTIVIX SERRA
GO;5208608;GOIANESIA;50998;;FACULDADE EVANGÉLICA DE GOIANÉSIA
GO;5209101;GOIATUBA;51004;;CEPI - CENTRO DE ENSINO EM PERÍODO INTEGRAL OSÉAS BORGES GUIMARÃES
RS;4322509;VACARIA;51084;;EEEM PADRE EFREM
GO;5219308;SANTA HELENA DE GOIAS;51014;;CENTRO DE ENSINO EM PERÍODO INTEGRAL JOSÉ SALVIANO AZEVEDO
BA;2913606;ILHEUS;50738;;COLÉGIO ESTADUAL DE TEMPO INTEGRAL PROFESSOR CARLOS ROBERTO ARLEO BARBOSA
BA;2926608;RIBEIRA DO POMBAL;50771;;COLÉGIO CENTRAL DE RIBEIRA DO POMBAL
BA;2926400;RIACHO DE SANTANA;50773;;ESCOLA MUNICIPALIZADA ARNALDO CARDOSO
BA;2928802;SANTO ESTEVAO;50721;;COLÉGIO ESTADUAL DE TEMPO INTEGRAL DE SANTO ESTEVÃO
BA;2906808;CANSANCAO;50714;;ESCOLA MUNICIPAL PROFESSORA DIONÊ OLIVEIRA PASSOS
BA;2903508;BELO CAMPO;50686;;ESCOLA MUNICIPAL EDVALDO FLORES
BA;2904100;BOQUIRA;50758;;COLÉGIO MUNICIPAL ÂNGELO MAGALHÃES
PR;4126306;SENGES;50949;;DREAMSCHOOL
PR;4114203;MANDAGUARI;50932;;FAFIMAN
PR;4120804;QUATRO BARRAS;50906;;COLÉGIO ESTADUAL ARLINDA FERREIRA CREPLIVE
GO;5210208;IPORA;50977;;CENTRO UNIVERSITÁRIO DE IPORÁ
GO;5215702;PALMEIRAS DE GOIAS;50978;;UNIVERSIDADE ESTADUAL DE GOIÁS - (UEG)
GO;5213806;MORRINHOS;50990;;CENTRO DE ENSINO EM PERÍODO INTEGRAL ALFREDO NASSER
PR;4126801;TAPEJARA;50951;;ESCOLA MUNICIPAL DR.ULYSSES DA SILVEIRA GUMARÃES E.I.E.F
GO;5205901;CORUMBAIBA;50992;;ESCOLA MUNICIPAL COUTO DE MAGALHÃES
RN;2402006;CAICO;50630;;CENTRO DE ENSINO SUPERIOR DO SERIDÓ - UFRN - CAMPUS DE CAICÓ
BA;2930758;SITIO DO MATO;50675;;ESCOLA MUNICIPAL PROFESSOR AVELINO NUNES RODRIGUES
RN;2407104;MACAIBA;50647;;ESCOLA ESTADUAL ARCELINA FERNANDES
PR;4118501;PATO BRANCO;50854;;UTFPR - CAMPUS PATO BRANCO
PR;4101200;ANTONINA;50883;;CENTRO ESTADUAL DE ENSINO PROFISSIONAL DR. BRASILIO MACHADO
PR;4102901;BITURUNA;50857;;CEEBJA BITURUNA
PR;4119103;PIEN;50871;;UNINTER - POLO DE APOIO PRESENCIAL DE PIÊN
PR;4103305;BORRAZOPOLIS;50858;;COLEGIO ESTADUAL JOSÉ DE ANCHIETA
RS;4319901;SAPIRANGA;51180;;EMEF SÃO CARLOS
RS;4315305;QUARAI;51201;;POLO UAB DE QUARAÍ
MG;3137205;LAGOA DA PRATA;51276;;UNOPAR - POLO LAGOA DA PRATA - UNIVERSIDADE PITÁGORAS UNOPAR
MG;3111101;CAMPINA VERDE;51211;;CESEC PROFESSORA ROMILDA DINIZ
RS;4318507;SAO JOSE DO NORTE;51167;;ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL JOÃO DE DEUS COLLARES
MG;3121258;DELTA;51223;;ESCOLA MUNICIPAL OLAVO DE OLIVEIRA FERREIRA
MG;3131802;ITABIRINHA;51233;;ESCOLA ESTADUAL GOVERNADOR LACERDA DE AGUIAR
MG;3142007;MIRABELA;51268;;ESCOLA MUNICIPAL EVA RUAS GUIMARÃES
CE;2306405;ITAPIPOCA;50554;;CAMPUS DO CENTRO UNIVERSITARIO INTA - FACUL UNINTA ITAPIPOCA
SP;3548906;SAO CARLOS;51753;;UNICEP CAMPUS II
SP;3549409;SAO JOAQUIM DA BARRA;51809;;E. E. PROFESSORA GENOVEVA PINHEIRO VIEIRA DE VITTA
SP;3513108;CRAVINHOS;51794;;COLÉGIO TOM JOBIM
SP;3537800;PIEDADE;51768;;E.E. PROFº CARLOS AUGUSTO DE CAMARGO
SP;3517703;GUARA;51796;;EE MARECHAL RONDON
SP;3527306;LOUVEIRA;51738;;E.E. ODILON LEITE FERRAZ
SC;4200101;ABELARDO LUZ;51455;;E.E.F ALTAIR SILVA
MG;3103405;ARACUAI;51392;;ESCOLA ESTADUAL PROFESSORA APARECIDA DUTRA
SC;4207502;INDAIAL;51463;;EEB FREDERICO HARDT
MG;3107307;BOCAIUVA;51419;;E.E DR.ODILON LOURES
MG;3133758;ITAU DE MINAS;51454;;ESCOLA ESTADUAL ARY PIMENTA BUGELLI
SP;3507605;BRAGANCA PAULISTA;51703;;UNIVERSIDADE SÃO FRANCISCO
SP;3510401;CAPIVARI;51707;;EE PADRE FABIANO JOSÉ MOREIRA DE CAMARGO
SP;3516705;GARCA;51665;;COLÉGIO ANTARES
SP;3500105;ADAMANTINA;51684;;CENTRO UNIVERSITÁRIO DE ADAMANTINA - FAI - CAMPUS II
